time,POACTPQM1T_kW,POACTPQM2_kW,POACTPQM3_kW,FREQPQM1_Hz,FREQPQM2_Hz,VABPQM1T_volt,VBCPQM1T_volt,VCAPQM1T_volt,VABPQM2_volt,VBCPQM2_volt,VCAPQM2_volt,VABPQM3_volt,VBCPQM3_volt,VCAPQM3_volt,AMPAPQM1T_amp,AMPBPQM1T_amp,AMPCPQM1T_amp,AMPAPQM2_amp,AMPBPQM2_amp,AMPCPQM2_amp,AMPAPQM3_amp,AMPBPQM3_amp,AMPCPQM3_amp,PORETPQM1T_kvar,PORETPQM2_kvar,PORETPQM3_kvar,FPTPQM1T,FPTPQM2,FPTPQM3,DESVMPM1_%,DESAMPM1_%,DESVMPM2_%,DESAMPM2_%,DESVMPM3_%,DESAMPM3_%,THDVTPQM1T,THDITPQM1T,THDI11PQM1,THDI3PQM1,THDI5PQM1,THDI7PQM1,THDI9PQM1,THDITPQM1,THDV11PQM1,THDV3PQM1,THDV5PQM1,THDV7PQM1,THDV9PQM1,THDVTPQM1,TEMPTUBXIN_degF,PDP_PSIG,PIP_PSIG,TPMOTOR_degF,HORAS_ON,HORAS_OFF,HORAS_TOT,POT_HID,VOLUMEN_LIQUIDO,AGUA,CRUDO,BSW
2022-11-26T15:09:00.000Z,480.3,450.8,,,56.9,483.4,485.85,484.45,438.4,442.8,434.1,2946,3026,2920,618.1,630.4,620.8,787.3,783.7,784.6,112.8,116.4,118.9,64.6,389.8,273.7,91.8,75.5,,0.524246396,1.171561547,1.988411904,0.267447784,4.208065459,2.786555587,42.45,,3.5,0.9,38.5,11.6,4.5,,,,,,,9.2,200.69,2457.4,1002.6,253.1,,,,234.5595226,,,,
2022-11-26T15:12:00.000Z,480.1,448.8,448.8287486,,57,483.15,486.1,484.35,437.9,442.3,433.7,2943,3023,2918,617.7,630.4,621.1,787.7,784.2,784.4,112.9,116.5,119,55.1,391.5,274.6,91.65,75.3,88.7,,1.176974107,1.990771259,0.288588041,4.191850263,2.784156142,23.2,42.75,3.1,1.1,38.8,11.1,4.6,41.4,,,,,,21.9,200.68,2457.1,1002.7,251.3,,,,234.9218692,,,,
2022-11-26T15:15:00.000Z,479.3,451.4,,,,481.95,484.65,482.75,438.1,442.5,433.9,,3025,,618.6,631.7,622.3,,,784.7,112.8,116.4,,71.6,389,273.9,91.65,75.6,,0.651329549,1.201537969,2.002898933,,,,41.05,65.65,3.5,1,38.6,11.6,4.4,41.1,,,,,,9.1,200.73,2456.7,1002.4,253,,,,234.5586883,,,,
2022-11-26T15:18:00.000Z,478.6,451,,,,482.4,,483.45,,,433.8,2944,3024,,619.5,631.9,622.1,787.9,784.4,785,112.9,116.5,,60.3,389.6,273.7,91.45,,88.8,0.6087735,1.184947958,,0.271497052,,,23.35,42.7,3.1,,38.9,11.2,4.7,41.4,,,,,,21.9,200.7,2456.7,1002.4,,,,,234.600969,,,,
2022-11-26T15:21:00.000Z,478.9,451.1,450.528781,,56.9,482.9,485.65,483.9,438.5,442.9,434.2,2946,3026,2920,618.1,631,621.7,787.8,783.9,784.9,112.8,,118.9,65,389.9,275.6,91.6,75.5,88.6,,1.186658114,,0.288551303,,,16.15,42.45,3.3,0.9,38.3,11.5,4.3,41.1,,,,,,9.2,200.71,2457.5,1002.5,252.6,,,,234.8791606,,,,
2022-11-26T15:24:00.000Z,480,450.7,,,,483.65,486.9,485.05,438,442.4,433.7,2943,3024,2917,616.5,629.6,620.3,,784,784.8,112.9,,,65.7,389.6,274.7,91.8,,88.7,0.714030703,1.200171453,1.977066034,,4.191850263,,23.25,42.9,2.9,1.1,38.7,11.1,4.5,41.7,,,,,,22,200.71,2456,1002.6,252.3,1.15,0,1.15,234.70065,,,,
2022-11-26T15:27:00.000Z,478.8,448.5,448.5747748,,57,484,486.95,485.15,,442.5,433.8,2944,3023,2918,,,620.5,787.4,,784.7,,,119,72.8,392,272.9,91.4,75.2,88.8,0.642398287,,,,,,23,42.5,3.1,1.7,38,12.4,,41.1,,,,,,22.5,200.65,2456.5,1002.8,252.1,,,,234.7622097,,,,
2022-11-26T15:30:00.000Z,481.6,450.6,450.3613303,,,483.95,486.55,,438.1,,,,3025,,617.3,629.2,620.5,787.8,784.2,785,,,,64.3,390,274.1,91.95,75.5,88.7,0.577243513,1.103374397,,0.271531608,,,47.65,66.15,3,0.9,38.9,11.3,4.7,41.2,,,,,,21.5,200.73,2457.3,1002.6,253,,,,234.8426357,,,,
2022-11-26T15:33:00.000Z,480.6,449.7,,,56.9,,487.35,485.7,438.2,442.6,433.9,,,,616.8,,620.4,787.3,783.7,784.4,112.8,,,69.1,390.4,274.6,,75.4,,0.677603424,,,0.27596162,,,22.5,42.55,2.9,1.6,37.5,12,4.3,41.1,,,,,,21.9,200.74,2457.3,1002.6,253,,,,233.9900734,,,,
2022-11-26T15:36:00.000Z,479.7,450.3,,,57,483.6,485.95,484.6,438.1,442.5,,,,2919,618.1,630.3,621.2,788.2,784.4,784.6,112.9,,118.9,63.4,390.5,276.9,91.25,,88.5,0.512209649,1.13928113,,0.313931783,,,46.8,64.8,3,1,38.9,11.1,4.7,41.2,,,,,,22.7,200.67,2456.6,1002.7,250.7,,,,234.9726171,,,,
